round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
72,4608,1.64137,1.68598,0.523,0.1634,2,9080172,0.0,0.00061,0.00019
73,4672,1.72291,1.68598,0.523,0.1639,2,9206284,0.0,0.00049,0.00013
74,4736,1.71471,1.68598,0.523,0.1644,2,9332396,0.0,0.00057,0.00012
75,4800,1.67483,1.65338,0.539,0.1661,2,9458508,0.0,0.00166,0.00111
76,4864,1.62626,1.65338,0.539,0.1744,2,9584620,0.0,0.00833,0.00021
77,4928,1.63648,1.65338,0.539,0.175,2,9710732,0.0,0.00061,0.00014
78,4992,1.73146,1.65338,0.539,0.1756,2,9836844,0.0,0.00052,0.00014
79,5056,1.64703,1.65338,0.539,0.176,2,9962956,0.0,0.00049,0.00012
80,5120,1.70361,1.62317,0.5495,0.1765,2,10089068,0.0,0.00046,0.00012
81,5184,1.68841,1.62317,0.5495,0.1846,2,10215180,0.0,0.00812,0.00028
82,5248,1.66253,1.62317,0.5495,0.1853,2,10341292,0.0,0.00072,0.00021
83,5312,1.68054,1.62317,0.5495,0.1859,2,10467404,0.0,0.0006,0.00021
84,5376,1.59743,1.62317,0.5495,0.1865,2,10593516,0.0,0.00055,0.00018
85,5440,1.71154,1.59238,0.5685,0.187,2,10719628,0.0,0.00053,0.00018
86,5504,1.62452,1.59238,0.5685,0.1945,2,10845740,0.0,0.00743,0.00017
87,5568,1.6266,1.59238,0.5685,0.1951,2,10971852,0.0,0.00064,0.00014
88,5632,1.54778,1.59238,0.5685,0.1956,2,11097964,0.0,0.00054,0.00013
89,5696,1.61191,1.59238,0.5685,0.1962,2,11224076,0.0,0.00056,0.00016
90,5760,1.52418,1.56664,0.586,0.1968,2,11350188,0.0,0.00058,0.00015
91,5824,1.54514,1.56664,0.586,0.202,2,11476300,0.0,0.00523,0.00017
92,5888,1.5248,1.56664,0.586,0.2026,2,11602412,0.0,0.0006,0.00014
93,5952,1.62767,1.56664,0.586,0.2032,2,11728524,0.0,0.00061,0.00014
94,6016,1.60325,1.56664,0.586,0.2038,2,11854636,0.0,0.00057,0.00019
95,6080,1.55993,1.54281,0.596,0.2044,2,11980748,0.0,0.00057,0.00013
96,6144,1.57206,1.54281,0.596,0.2118,2,12106860,0.0,0.00739,0.0002
97,6208,1.53666,1.54281,0.596,0.2123,2,12232972,0.0,0.00056,0.00015
98,6272,1.64352,1.54281,0.596,0.2129,2,12359084,0.0,0.0006,0.00013
99,6336,1.54609,1.54281,0.596,0.2135,2,12485196,0.0,0.00056,0.00014
100,6400,1.59012,1.51435,0.611,0.214,2,12611308,0.0,0.00055,0.00018
101,6464,1.5109,1.51435,0.611,0.22,2,12737420,0.0,0.00594,0.0002
102,6528,1.54344,1.51435,0.611,0.2207,2,12863532,0.0,0.00076,0.00016
103,6592,1.53176,1.51435,0.611,0.2213,2,12989644,0.0,0.00056,0.00014
104,6656,1.42412,1.51435,0.611,0.2218,2,13115756,0.0,0.00055,0.00013
105,6720,1.56165,1.48877,0.6135,0.2223,2,13241868,0.0,0.00047,0.00012
106,6784,1.47416,1.48877,0.6135,0.2268,2,13367980,0.0,0.00454,0.00014
107,6848,1.41948,1.48877,0.6135,0.2273,2,13494092,0.0,0.0005,0.00013
108,6912,1.44656,1.48877,0.6135,0.2279,2,13620204,0.0,0.00058,0.00022
109,6976,1.54182,1.48877,0.6135,0.2285,2,13746316,0.0,0.00058,0.00014
