round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
197,6304,1.24499,1.24916,0.6175,0.3206,2,12422140,1,0.00047,0.0
198,6336,1.33031,1.24916,0.6175,0.3219,2,12485196,1,0.00127,0.0
199,6368,1.20523,1.24916,0.6175,0.3222,2,12548252,1,0.00036,0.0
200,6400,1.45423,1.23262,0.6225,0.3228,2,12611308,1,0.00054,0.0
201,6432,1.30674,1.23262,0.6225,0.3297,2,12674364,1,0.00691,0.0
202,6464,1.18926,1.23262,0.6225,0.3301,2,12737420,1,0.00039,0.0
203,6496,1.3539,1.23262,0.6225,0.3304,2,12800476,1,0.0003,0.0
204,6528,1.23239,1.23262,0.6225,0.3307,2,12863532,1,0.00035,0.0
205,6560,1.31718,1.2165,0.635,0.3311,2,12926588,1,0.00034,0.0
206,6592,1.21614,1.2165,0.635,0.3373,2,12989644,1,0.00623,0.0
207,6624,1.15237,1.2165,0.635,0.3377,2,13052700,1,0.00043,0.0
208,6656,1.07795,1.2165,0.635,0.338,2,13115756,1,0.00031,0.0
209,6688,1.25572,1.2165,0.635,0.3383,2,13178812,1,0.00027,0.0
210,6720,1.31365,1.2056,0.632,0.3386,2,13241868,1,0.00027,0.0
211,6752,1.20134,1.2056,0.632,0.3449,2,13304924,1,0.00633,0.0
212,6784,1.17058,1.2056,0.632,0.3452,2,13367980,1,0.00031,0.0
213,6816,0.99366,1.2056,0.632,0.3455,2,13431036,1,0.0003,0.0
214,6848,1.20775,1.2056,0.632,0.3458,2,13494092,1,0.00028,0.0
215,6880,1.18776,1.19291,0.628,0.346,2,13557148,1,0.00027,0.0
216,6912,1.13501,1.19291,0.628,0.3525,2,13620204,1,0.00641,0.0
217,6944,1.28857,1.19291,0.628,0.3528,2,13683260,1,0.00036,0.0
218,6976,1.27318,1.19291,0.628,0.3531,2,13746316,1,0.00033,0.0
219,7008,1.17574,1.19291,0.628,0.3536,2,13809372,1,0.00045,0.0
220,7040,1.23504,1.18191,0.6335,0.3539,2,13872428,1,0.00034,0.0
221,7072,1.17405,1.18191,0.6335,0.3602,2,13935484,1,0.0063,0.0
222,7104,1.12266,1.18191,0.6335,0.3608,2,13998540,1,0.00054,0.0
223,7136,1.1225,1.18191,0.6335,0.3611,2,14061596,1,0.00034,0.0
224,7168,1.15294,1.18191,0.6335,0.3614,2,14124652,1,0.00028,0.0
225,7200,1.09954,1.17579,0.634,0.3617,2,14187708,1,0.00027,0.0
226,7232,1.23573,1.17579,0.634,0.3686,2,14250764,1,0.00691,0.0
227,7264,1.218,1.17579,0.634,0.3691,2,14313820,1,0.00057,0.0
228,7296,1.16294,1.17579,0.634,0.3695,2,14376876,1,0.00034,0.0
229,7328,1.13927,1.17579,0.634,0.3698,2,14439932,1,0.00029,0.0
