round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
38,2432,1.93834,1.94592,0.4105,0.0595,2,4792364,0.0,0.00057,0.00019
39,2496,1.90973,1.94592,0.4105,0.0601,2,4918476,0.0,0.00059,0.00014
40,2560,1.93049,1.90574,0.436,0.0606,2,5044588,0.0,0.00053,0.00013
41,2592,1.8616,1.90574,0.436,4.1305,1,5107644,0.0,4.06986,4.06498
42,2656,1.94626,1.90574,0.436,4.1316,1,5170700,0.0,0.00115,0.00018
43,2720,1.90719,1.90574,0.436,4.1326,1,5233756,0.0,0.00095,0.00012
44,2784,1.91719,1.90574,0.436,4.1332,1,5296812,0.0,0.00064,0.0001
45,2848,1.83938,1.86766,0.4455,4.1338,1,5359868,0.0,0.00058,9e-05
46,2912,1.88157,1.86766,0.4455,4.1386,1,5422924,0.0,0.00481,0.0001
47,2976,1.78347,1.86766,0.4455,4.1392,1,5485980,0.0,0.0006,0.0001
48,3040,1.84458,1.86766,0.4455,4.1398,1,5549036,0.0,0.00055,0.0001
49,3104,1.87439,1.86766,0.4455,4.1403,1,5612092,0.0,0.00055,9e-05
50,3168,1.74672,1.82906,0.4605,4.1408,1,5675148,0.0,0.00052,9e-05
51,3232,1.83207,1.82906,0.4605,4.1457,1,5738204,0.0,0.00481,0.00013
52,3296,1.82265,1.82906,0.4605,4.1463,1,5801260,0.0,0.00064,9e-05
53,3360,1.86663,1.82906,0.4605,4.1469,1,5864316,0.0,0.00057,9e-05
54,3424,1.72925,1.82906,0.4605,4.1474,1,5927372,0.0,0.00053,9e-05
55,3488,1.86579,1.79279,0.4815,4.148,1,5990428,0.0,0.00065,0.0001
56,3552,1.7902,1.79279,0.4815,4.1534,1,6053484,0.0,0.00537,0.00014
57,3616,1.77854,1.79279,0.4815,4.1541,1,6116540,0.0,0.00065,0.0001
58,3680,1.75583,1.79279,0.4815,4.1547,1,6179596,0.0,0.00059,0.0001
59,3744,1.72413,1.79279,0.4815,4.1552,1,6242652,0.0,0.00058,0.0001
60,3808,1.74449,1.75794,0.494,4.1558,1,6305708,0.0,0.0006,9e-05
61,3872,1.81315,1.75794,0.494,4.1606,1,6368764,0.0,0.0048,0.00011
62,3936,1.75481,1.75794,0.494,4.1612,1,6431820,0.0,0.00059,9e-05
63,4000,1.78761,1.75794,0.494,4.1617,1,6494876,0.0,0.00051,9e-05
64,4064,1.59296,1.75794,0.494,4.1623,1,6557932,0.0,0.00055,9e-05
65,4128,1.6552,1.72489,0.5115,4.1628,1,6620988,0.0,0.00051,8e-05
66,4192,1.68573,1.72489,0.5115,4.1684,1,6684044,0.0,0.00563,0.00013
67,4256,1.75968,1.72489,0.5115,4.1691,1,6747100,0.0,0.0007,0.0001
68,4320,1.70958,1.72489,0.5115,4.1697,1,6810156,0.0,0.00059,0.0001
69,4384,1.76317,1.72489,0.5115,4.1703,1,6873212,0.0,0.00058,0.0001
70,4448,1.71433,1.68764,0.5165,4.1709,1,6936268,0.0,0.00057,0.0001
71,4512,1.6796,1.68764,0.5165,4.1754,1,6999324,0.0,0.00458,0.00011
72,4576,1.64035,1.68764,0.5165,4.176,1,7062380,0.0,0.00052,9e-05
73,4640,1.72659,1.68764,0.5165,4.1765,1,7125436,0.0,0.00053,9e-05
74,4704,1.72191,1.68764,0.5165,4.177,1,7188492,0.0,0.00055,9e-05
75,4768,1.68262,1.65507,0.5355,4.1776,1,7251548,0.0,0.00054,9e-05
76,4832,1.63265,1.65507,0.5355,4.1829,1,7314604,0.0,0.00531,0.00015
77,4896,1.63542,1.65507,0.5355,4.1836,1,7377660,0.0,0.00071,0.00013
78,4960,1.73146,1.65507,0.5355,4.1843,1,7440716,0.0,0.00069,0.00011
79,5024,1.65207,1.65507,0.5355,4.1849,1,7503772,0.0,0.00063,0.0001
80,5088,1.70335,1.62482,0.554,4.1855,1,7566828,0.0,0.00058,0.0001
81,5152,1.68606,1.62482,0.554,4.1901,1,7629884,0.0,0.00461,0.0001
82,5216,1.66205,1.62482,0.554,4.1907,1,7692940,0.0,0.00058,9e-05
83,5280,1.67848,1.62482,0.554,4.1912,1,7755996,0.0,0.0005,8e-05
84,5344,1.60077,1.62482,0.554,4.1917,1,7819052,0.0,0.00051,0.0001
85,5408,1.7153,1.59387,0.5625,4.1922,1,7882108,0.0,0.00055,0.0001
86,5472,1.62688,1.59387,0.5625,4.1969,1,7945164,0.0,0.00472,0.0001
87,5536,1.6321,1.59387,0.5625,4.1976,1,8008220,0.0,0.00068,0.00012
88,5600,1.55014,1.59387,0.5625,4.1984,1,8071276,0.0,0.00076,0.00013
89,5664,1.60603,1.59387,0.5625,4.199,1,8134332,0.0,0.00063,0.00011
90,5728,1.52515,1.56809,0.585,4.1997,1,8197388,0.0,0.00065,0.0001
91,5792,1.54506,1.56809,0.585,4.2045,1,8260444,0.0,0.00481,0.0001
92,5856,1.531,1.56809,0.585,4.205,1,8323500,0.0,0.00057,9e-05
93,5920,1.63108,1.56809,0.585,4.2056,1,8386556,0.0,0.00051,8e-05
94,5984,1.6013,1.56809,0.585,4.206,1,8449612,0.0,0.00049,9e-05
95,6048,1.56146,1.54412,0.5945,4.2065,1,8512668,0.0,0.00049,9e-05
96,6112,1.57548,1.54412,0.5945,4.211,1,8575724,0.0,0.00447,0.0001
97,6176,1.54212,1.54412,0.5945,4.2116,1,8638780,0.0,0.0006,9e-05
98,6240,1.64907,1.54412,0.5945,4.2121,1,8701836,0.0,0.00052,9e-05
99,6304,1.54931,1.54412,0.5945,4.2127,1,8764892,0.0,0.00054,0.0001
100,6368,1.59762,1.51546,0.606,4.2132,1,8827948,0.0,0.00052,9e-05
101,6432,1.51129,1.51546,0.606,4.2191,1,8891004,0.0,0.00597,0.00015
102,6496,1.54415,1.51546,0.606,4.2198,1,8954060,0.0,0.00064,0.0001
103,6560,1.53429,1.51546,0.606,4.2204,1,9017116,0.0,0.00066,9e-05
104,6624,1.42006,1.51546,0.606,4.221,1,9080172,0.0,0.00055,8e-05
105,6688,1.56282,1.48989,0.621,4.2215,1,9143228,0.0,0.00048,8e-05
106,6752,1.47139,1.48989,0.621,4.226,1,9206284,0.0,0.00453,0.00011
107,6816,1.41987,1.48989,0.621,4.2266,1,9269340,0.0,0.00057,9e-05
108,6880,1.44188,1.48989,0.621,4.2271,1,9332396,0.0,0.00051,8e-05
109,6944,1.54166,1.48989,0.621,4.2276,1,9395452,0.0,0.0005,0.0001
110,7008,1.4834,1.46605,0.618,4.2281,1,9458508,0.0,0.00056,9e-05
111,7072,1.43612,1.46605,0.618,4.2341,1,9521564,0.0,0.00596,0.00015
112,7136,1.4367,1.46605,0.618,4.2349,1,9584620,0.0,0.00082,0.00011
113,7200,1.45372,1.46605,0.618,4.2356,1,9647676,0.0,0.00067,9e-05
114,7264,1.46463,1.46605,0.618,4.2361,1,9710732,0.0,0.00055,9e-05
115,7328,1.44672,1.44653,0.6285,4.2367,1,9773788,0.0,0.00054,9e-05
116,7392,1.39187,1.44653,0.6285,4.2413,1,9836844,0.0,0.00461,0.0001
117,7456,1.54603,1.44653,0.6285,4.2418,1,9899900,0.0,0.00054,0.00011
118,7520,1.52015,1.44653,0.6285,4.2424,1,9962956,0.0,0.00052,9e-05
119,7584,1.36769,1.44653,0.6285,4.2429,1,10026012,0.0,0.00055,0.0001
120,7648,1.52393,1.42248,0.627,4.2435,1,10089068,0.0,0.00057,0.0001
121,7712,1.47708,1.42248,0.627,4.2489,1,10152124,0.0,0.00539,0.00032
122,7776,1.50672,1.42248,0.627,4.2496,1,10215180,0.0,0.00076,0.00014
123,7840,1.33688,1.42248,0.627,4.2502,1,10278236,0.0,0.00063,0.00011
124,7904,1.43629,1.42248,0.627,4.2508,1,10341292,0.0,0.00057,9e-05
125,7968,1.4799,1.40167,0.634,4.2514,1,10404348,0.0,0.00054,9e-05
126,8032,1.42727,1.40167,0.634,4.256,1,10467404,0.0,0.00461,0.0001
127,8096,1.4744,1.40167,0.634,4.2566,1,10530460,0.0,0.0006,0.0001
128,8160,1.45015,1.40167,0.634,4.2571,1,10593516,0.0,0.00053,0.0001
129,8224,1.39201,1.40167,0.634,4.2577,1,10656572,0.0,0.00059,9e-05
130,8288,1.36782,1.3792,0.645,4.2583,1,10719628,0.0,0.00058,9e-05
131,8352,1.44596,1.3792,0.645,4.2627,1,10782684,0.0,0.00447,9e-05
